7456101,1676,https://www.zameen.com/Property/askari_askari_9_10_marla_03_bedroom_house_for_sale_in_askari_9_lahore_cantt-7456101-1676-1.html,House,24000000,High,Askari,Lahore,Punjab,"Askari, Lahore, Punjab",31.547381,74.393892,3,10 Marla,10,2722.51,For Sale,3,6/18/2019,2019,6,18,Property Adviser & Builders,Muhammad Arshad
7466624,513,https://www.zameen.com/Property/lahore_iqbal_park_3_marla_beautiful_house_at_prime_location_for_sale-7466624-513-1.html,House,8200000,Low,Iqbal Park,Lahore,Punjab,"Iqbal Park, Lahore, Punjab",31.593305,74.309363,3,3 Marla,3,816.75,For Sale,3,7/3/2019,2019,7,3,Nationwide Estate & Builders,Mazhar
7480412,1536,https://www.zameen.com/Property/garden_town_garden_town_abu_bakar_block_2_kanal_5_marla_house_for_sale_in_garden_town_abu_bakar_block-7480412-1536-1.html,House,110000000,Very High,Garden Town,Lahore,Punjab,"Garden Town, Lahore, Punjab",31.512228,74.325078,0,2.2 Kanal,44,11979.04,For Sale,0,7/3/2019,2019,7,3,Property Concern Real Estate Consultants,Rashad Abdul Qaiyum
7486831,4064,https://www.zameen.com/Property/mustafa_town_hadayat_ullah_block_10_marla_double_storey_house_for_sale-7486831-4064-1.html,House,19000000,High,Mustafa Town,Lahore,Punjab,"Mustafa Town, Lahore, Punjab",31.494993,74.27294,4,10 Marla,10,2722.51,For Sale,5,7/3/2019,2019,7,3,,
7487644,3102,https://www.zameen.com/Property/gulberg_paf_falcon_complex_ih_house_one_kanal_totally_renovated_on_main_double_road_in_falcon_complex_paf_falcon_complex_gulberg_lahore-7487644-3102-1.html,House,57500000,Very High,Gulberg,Lahore,Punjab,"Gulberg, Lahore, Punjab",31.49797599,74.34614539,5,1 Kanal,20,5445.02,For Sale,5,6/18/2019,2019,6,18,Samar Associates,Khurram Shahid Chughtai
7498600,153,https://www.zameen.com/Property/lahore_walton_road_house_is_available_for_sale-7498600-153-1.html,House,9000000,Low,Walton Road,Lahore,Punjab,"Walton Road, Lahore, Punjab",31.477098,74.357271,4,5 Marla,5,1361.25,For Sale,4,7/3/2019,2019,7,3,,
7499239,1593,https://www.zameen.com/Property/dha_phase_4_dha_phase_4_block_ee_10_marla_used_bungalow_good_condition_in_phase_4_for_sale-7499239-1593-1.html,House,23500000,High,DHA Defence,Lahore,Punjab,"DHA Defence, Lahore, Punjab",31.467838,74.39126,5,10 Marla,10,2722.51,For Sale,4,3/4/2019,2019,3,4,Harum Real Estate & Builders,Sajid Ali
7507867,8585,https://www.zameen.com/Property/samanabad_bastami_road_area_6_marla_double_storey_house_in_street_32_feet_5_bed_room_attach_bath_2_drawing_room_and_tv_lounge_2_common_bath_mini_store_and_extra_store-7507867-8585-1.html,House,15000000,Medium,Samanabad,Lahore,Punjab,"Samanabad, Lahore, Punjab",31.534984,74.294887,6,6 Marla,6,1633.51,For Sale,5,7/3/2019,2019,7,3,,
7516301,9245,https://www.zameen.com/Property/paragon_city_paragon_city_imperial_block_1_kanal_brand_new_house_for_sale_with_basement_for_sale-7516301-9245-1.html,House,47500000,Very High,Paragon City,Lahore,Punjab,"Paragon City, Lahore, Punjab",31.528941,74.454131,8,1 Kanal,20,5445.02,For Sale,7,5/4/2019,2019,5,4,Paragon Club Real Estate,Amjad Hussain
7542221,409,https://www.zameen.com/Property/eden_eden_city_1_kanal_designer_house_available_for_sale-7542221-409-1.html,House,35000000,Very High,Eden,Lahore,Punjab,"Eden, Lahore, Punjab",31.513142,74.436994,6,1 Kanal,20,5445.02,For Sale,5,5/3/2019,2019,5,3,Matchless Estate & Builders,M. Imtiaz Khan
7567796,1448,https://www.zameen.com/Property/dha_defence_dha_phase_6_mazhar_munir_design_10_marla_brand_new_bungalow-7567796-1448-1.html,House,32000000,High,DHA Defence,Lahore,Punjab,"DHA Defence, Lahore, Punjab",31.471571,74.445906,5,10 Marla,10,2722.51,For Sale,4,6/28/2019,2019,6,28,Harum Real Estate & Builders,Harum Real Estate Builders
7579918,3102,https://www.zameen.com/Property/gulberg_paf_falcon_complex_one_kanal_house_available_for_sale_near_kalma_chowk_gulberg_in_paf_falcon_complex_lahore-7579918-3102-1.html,House,53500000,Very High,Gulberg,Lahore,Punjab,"Gulberg, Lahore, Punjab",31.495909,74.350569,6,1 Kanal,20,5445.02,For Sale,5,6/29/2019,2019,6,29,Omer Associates,Zulqarnain Khan
7595035,520,https://www.zameen.com/Property/lahore_new_super_town_10_marla_house_on_prime_location-7595035-520-1.html,House,20000000,High,New Super Town,Lahore,Punjab,"New Super Town, Lahore, Punjab",31.495945,74.37718,3,10 Marla,10,2722.51,For Sale,3,7/3/2019,2019,7,3,,
7596713,1473,https://www.zameen.com/Property/lahore_west_wood_housing_society_double_storey_house_for_sale-7596713-1473-1.html,House,37500000,Very High,West Wood Housing Society,Lahore,Punjab,"West Wood Housing Society, Lahore, Punjab",31.465788,74.237881,6,1 Kanal,20,5445.02,For Sale,6,7/17/2019,2019,7,17,,
7600743,1448,https://www.zameen.com/Property/dha_defence_dha_phase_6_mazhar_munir_1_kanal_brand_new_royal_palace-7600743-1448-1.html,House,41500000,Very High,DHA Defence,Lahore,Punjab,"DHA Defence, Lahore, Punjab",31.471571,74.445906,6,1 Kanal,20,5445.02,For Sale,5,6/30/2019,2019,6,30,Harum Real Estate & Builders,Ahmad Shiekh
