property_id,location_id,page_url,property_type,price,price_bin,location,city,province_name,locality,latitude,longitude,baths,area,area_marla,area_sqft,purpose,bedrooms,date_added,year,month,day,agency,agent,image
347795,8,https://www.zameen.com/Property/lahore_model_town_6_kanal_excellent_house_for_sale_in_model_town-347795-8-1.html,House,230000000,Very High,Model Town,Lahore,Punjab,"Model Town, Lahore, Punjab",31.48386866,74.3256855,0,6 Kanal,120,32670.12,For Sale,0,7/17/2019,2019,7,17,Real Biz International,Usama Khan,https://example.com/image2.jpg
482892,48,https://www.zameen.com/Property/lahore_multan_road_1_kanal_house_for_sale-482892-48-1.html,House,40000000,Very High,Multan Road,Lahore,Punjab,"Multan Road, Lahore, Punjab",31.431593,74.17998,5,1 Kanal,20,5445.02,For Sale,5,10/6/2018,2018,10,6,Khan Estate,mohsinkhan and B,https://example.com/image2.jpg
555962,75,https://www.zameen.com/Property/eden_eden_avenue_9_marla_house_for_sale-555962-75-1.html,House,9500000,Low,Eden,Lahore,Punjab,"Eden, Lahore, Punjab",31.499348,74.416959,0,9 Marla,9,2450.26,For Sale,3,7/3/2019,2019,7,3,Shahum Estate 2,"Babar Hameed, Raja Omar",https://example.com/image2.jpg
562843,3821,https://www.zameen.com/Property/gulberg_2_gulberg_2_block_s_semi_commercial_house_for_sale_near_mm_alam_price_negotiable-562843-3821-1.html,House,125000000,Very High,Gulberg,Lahore,Punjab,"Gulberg, Lahore, Punjab",31.522069,74.355512,7,1 Kanal,20,5445.02,For Sale,8,4/4/2019,2019,4,4,,https://example.com/image2.jpg
686990,3522,https://www.zameen.com/Property/allama_iqbal_town_allama_iqbal_town_raza_block_11_marla_house_for_sale_at_best_location_with_noc_ready-686990-3522-1.html,House,21000000,High,Allama Iqbal Town,Lahore,Punjab,"Allama Iqbal Town, Lahore, Punjab",31.506483,74.286017,5,11 Marla,11,2994.76,For Sale,6,4/4/2019,2019,4,4,,https://example.com/image2.jpg
785289,3102,https://www.zameen.com/Property/gulberg_paf_falcon_complex_matz_service_offer_1_kanal_house_for_sale-785289-3102-1.html,House,52000000,Very High,Gulberg,Lahore,Punjab,"Gulberg, Lahore, Punjab",31.495909,74.350569,6,1 Kanal,20,5445.02,For Sale,5,6/2/2019,2019,6,2,MATZ Services,Group Captain (R) Tajammul Baig,https://example.com/image2.jpg
891543,4031,https://www.zameen.com/Property/military_accounts_housing_society_military_accounts_society_block_b_brand_new_8_marla_luxurious_house_for_sale_at_military_accounts_cooperative_hosing_society_phase_1_college_road_lahore_key_features_of_this_luxurious_house_are__6_bedrooms_with_attach_bath__powder_room__2_kitchens__2_tv_lounges__drawing_and_dining_room__c-891543-4031-1.html,House,16500000,High,Military Accounts Housing Society,Lahore,Punjab,"Military Accounts Housing Society, Lahore, Punjab",31.421229,74.28556,7,8 Marla,8,2178.01,For Sale,6,7/3/2019,2019,7,3,,
983065,3749,https://www.zameen.com/Property/eme_society_eme_society_block_e_house_for_sale-983065-3749-1.html,House,32500000,High,EME Society,Lahore,Punjab,"EME Society, Lahore, Punjab",31.439978,74.209685,0,1 Kanal,20,5445.02,For Sale,5,7/3/2019,2019,7,3,Sukhera Estate & Builders,Ahmed Sheraz Sukhera
983066,3745,https://www.zameen.com/Property/eme_society_eme_society_block_a_house_for_sale-983066-3745-1.html,House,31500000,High,EME Society,Lahore,Punjab,"EME Society, Lahore, Punjab",31.437744,74.21349,0,1 Kanal,20,5445.02,For Sale,6,7/3/2019,2019,7,3,Sukhera Estate & Builders,Ahmed Sheraz Sukhera
983075,3931,https://www.zameen.com/Property/izmir_town_izmir_town_block_q_house_for_sale-983075-3931-1.html,House,40000000,Very High,Izmir Town,Lahore,Punjab,"Izmir Town, Lahore, Punjab",31.409106,74.181662,0,1.6 Kanal,32,8712.03,For Sale,6,7/3/2019,2019,7,3,Sukhera Estate & Builders,Ahmed Sheraz Sukhera
1286643,3733,https://www.zameen.com/Property/eden_eden_palace_villas_7_5_marla_luxury_house_is_available_for_sale-1286643-3733-1.html,House,13500000,Medium,Eden,Lahore,Punjab,"Eden, Lahore, Punjab",31.441113,74.239683,4,7.5 Marla,7.5,2041.88,For Sale,4,4/4/2019,2019,4,4,,
1402784,514,https://www.zameen.com/Property/lahore_upper_mall_commercial_old_house_for_sale_upper_mall_lahore_excellent_location-1402784-514-1.html,House,87500000,Very High,Upper Mall,Lahore,Punjab,"Upper Mall, Lahore, Punjab",31.542114,74.355898,5,1.2 Kanal,24,6534.02,For Sale,4,6/30/2019,2019,6,30,Hamza Real Estate,Imran Shahad
1407045,4135,https://www.zameen.com/Property/park_view_villas_park_view_villas_jade_block_5_marla_house__for_sale_in_park_view_villas_jade_block-1407045-4135-1.html,House,8500000,Low,Park View Villas,Lahore,Punjab,"Park View Villas, Lahore, Punjab",31.450248,74.200931,4,5 Marla,5,1361.25,For Sale,4,7/22/2019,2019,7,22,,
1606710,69,https://www.zameen.com/Property/lahore_cavalry_ground_10_marla_house_is_available_for_sale-1606710-69-1.html,House,16500000,High,Cavalry Ground,Lahore,Punjab,"Cavalry Ground, Lahore, Punjab",31.500557,74.36773,0,10 Marla,10,2722.51,For Sale,4,4/4/2019,2019,4,4,Rana Estate,Rana Shahzad
1646880,1781,https://www.zameen.com/Property/bahria_town_sector_b_bahria_town_umar_block_double_storey_house_for_sale-1646880-1781-1.html,House,18500000,High,Bahria Town,Lahore,Punjab,"Bahria Town, Lahore, Punjab",31.381706,74.195294,0,10 Marla,10,2722.51,For Sale,0,7/4/2019,2019,7,4,Punjab Associates,Ch. Tariq Ali Ranjha
1794392,9432,https://www.zameen.com/Property/askari_10_askari_10_sector_a_10_marla_intagrated_design_main_boulevard_available_for_sale-1794392-9432-1.html,House,23500000,High,Askari,Lahore,Punjab,"Askari, Lahore, Punjab",31.537239,74.420211,4,10 Marla,10,2722.51,For Sale,4,6/18/2019,2019,6,18,Forces Properties,Khalid Saeed Khan
1861954,378,https://www.zameen.com/Property/lahore_bedian_road_1_kanal_house_for_sale-1861954-378-1.html,House,22500000,High,Bedian Road,Lahore,Punjab,"Bedian Road, Lahore, Punjab",31.473474,74.429569,4,1 Kanal,20,5445.02,For Sale,4,4/4/2019,2019,4,4,,
1871116,4445,https://www.zameen.com/Property/lahore_agrics_town_brand_new_a_standards_furnished_house_for_sale-1871116-4445-1.html,House,50000000,Very High,Agrics Town,Lahore,Punjab,"Agrics Town, Lahore, Punjab",31.441625,74.224648,7,18 Marla,18,4900.52,For Sale,6,7/10/2019,2019,7,10,,
1997947,3814,https://www.zameen.com/Property/gulberg_2_gulberg_2_block_g_10_marla_town_house_with_commercialization_for_sale-1997947-3814-1.html,House,39500000,Very High,Gulberg,Lahore,Punjab,"Gulberg, Lahore, Punjab",31.526312,74.347959,6,10 Marla,10,2722.51,For Sale,6,6/11/2019,2019,6,11,,
2052081,9435,https://www.zameen.com/Property/askari_10_askari_10_sector_d_12_marla_tariq_design_house_is_available_for_sale-2052081-9435-1.html,House,27500000,High,Askari,Lahore,Punjab,"Askari, Lahore, Punjab",31.533161,74.419481,5,12 Marla,12,3267.01,For Sale,4,6/18/2019,2019,6,18,Forces Properties,Khalid Saeed Khan
2146098,9747,https://www.zameen.com/Property/lahore_chaman_park_commercial_house_is_available_for_sale_facing_canal_bank_nayapul_u_turn-2146098-9747-1.html,House,40000000,Very High,Chaman Park,Lahore,Punjab,"Chaman Park, Lahore, Punjab",31.567912,74.399192,3,11 Marla,11,2994.76,For Sale,6,1/4/2019,2019,1,4,,
2283284,514,https://www.zameen.com/Property/lahore_upper_mall_1_kanal_1_marla_house_for_sale_on_upper_mall_near_gym_khana_lahore-2283284-514-1.html,House,50000000,Very High,Upper Mall,Lahore,Punjab,"Upper Mall, Lahore, Punjab",31.542114,74.355898,6,1 Kanal,20,5445.02,For Sale,5,7/3/2019,2019,7,3,Hamza Real Estate,Imran Shahad
